gene_id,chromosome,gene_name,start,end,strand,n_transcripts,n_loci
LOC103100601,HiC_scaffold_18438,LOC103100601,3777,6534,+,1,1
LOC100013557,HiC_scaffold_18455,LOC100013557,3344,4287,+,1,1
LOC130457524,HiC_scaffold_18455,LOC130457524,4852,5410,-,1,1
LOC100617936,HiC_scaffold_18455,LOC100617936,6312,7318,-,1,1
LOC100013748,HiC_scaffold_18455,LOC100013748,7354,8060,+,2,1
LOC130453544,HiC_scaffold_18501,LOC130453544,1925,2489,-,1,1
LOC130456252,HiC_scaffold_18503,LOC130456252,5044,5586,+,1,1
CBR4,HiC_scaffold_18514,CBR4,2394,4997,+,2,1
LOC103091946,HiC_scaffold_18528,LOC103091946,3866,5594,+,1,1
LOC100029208,HiC_scaffold_1853,LOC100029208,1191,1794,+,1,1
LOC100011522,HiC_scaffold_185427,LOC100011522,17,321,+,1,1
LOC103097073,HiC_scaffold_18558,LOC103097073,6087,7077,-,5,1
LOC100023046,HiC_scaffold_18568,LOC100023046,2485,3397,-,1,1
SATL1,HiC_scaffold_186,SATL1,14292,23526,+,2,1
APOOL,HiC_scaffold_186,APOOL,27785,33922,-,5,1
LOC100021804,HiC_scaffold_18611,LOC100021804,6162,6801,+,1,1
LOC130457687,HiC_scaffold_18667,LOC130457687,2728,2830,+,1,1
LOC130457010,HiC_scaffold_18686,LOC130457010,4270,6796,-,1,1
LOC103096196,HiC_scaffold_18688,LOC103096196,190,2638,+,1,1
SLC34A1,HiC_scaffold_1869,SLC34A1,1031,9689,+,1,1
LOC130455966,HiC_scaffold_18690,LOC130455966,1245,3410,+,1,1
LOC103101414,HiC_scaffold_18717,LOC103101414,526,954,+,1,1
LOC130454040,HiC_scaffold_18717,LOC130454040,526,1009,+,1,1
LOC130457380,HiC_scaffold_18752,LOC130457380,5005,6965,-,1,2
LOC103095483,HiC_scaffold_18762,LOC103095483,3615,5214,+,1,1
TRNAC-GCA_32,HiC_scaffold_18776,TRNAC-GCA,3760,3831,+,1,1
TRNAC-GCA_31,HiC_scaffold_18776,TRNAC-GCA,6959,7030,+,1,1
ECHS1,HiC_scaffold_18777,ECHS1,962,7536,-,1,1
LOC100019747,HiC_scaffold_18782,LOC100019747,6939,7878,+,1,1
LOC103098920,HiC_scaffold_18811,LOC103098920,4540,6058,-,1,1
LOC100014035,HiC_scaffold_18824,LOC100014035,622,5698,+,1,1
LOC103094033,HiC_scaffold_18828,LOC103094033,1820,6968,+,2,1
LOC130454680,HiC_scaffold_18828,LOC130454680,4846,7680,-,1,1
MFSD4B,HiC_scaffold_18834,MFSD4B,67,7928,-,2,1
LOC130456306,HiC_scaffold_18840,LOC130456306,2597,3837,-,1,1
LOC100026438,HiC_scaffold_188403,LOC100026438,1,318,-,3,2
COPRS,HiC_scaffold_18880,COPRS,7219,7716,-,2,1
LOC103096612,HiC_scaffold_18885,LOC103096612,4375,6522,-,1,1
LOC130458985,HiC_scaffold_18888,LOC130458985,7352,7912,+,1,1
LOC100023975,HiC_scaffold_18893,LOC100023975,5868,6812,-,1,1
LOC130459019,HiC_scaffold_18898,LOC130459019,7502,7583,-,1,1
LOC100619989,HiC_scaffold_18917,LOC100619989,5074,5200,-,3,1
LOC130458412,HiC_scaffold_18988,LOC130458412,3794,6728,-,1,1
LOC130459054,HiC_scaffold_18996,LOC130459054,62,709,+,1,1
LOC130458350,HiC_scaffold_19,LOC130458350,10322,10745,+,1,1
LOC100018908,HiC_scaffold_190483,LOC100018908,12,310,-,1,1
LOC130454648,HiC_scaffold_1906,LOC130454648,3,1018,-,2,1
LOC103101846,HiC_scaffold_19091,LOC103101846,3725,7725,-,1,1
SYNGR2,HiC_scaffold_19092,SYNGR2,2940,7497,+,1,1
LOC130457883,HiC_scaffold_19097,LOC130457883,2567,3086,+,5,4
LOC100024716,HiC_scaffold_19141,LOC100024716,7066,7837,+,1,1
WBP2NL,HiC_scaffold_19168,WBP2NL,2129,6151,+,4,1
TRNAP-AGG,HiC_scaffold_191781,TRNAP-AGG,47,118,-,1,1
LOC107651734,HiC_scaffold_1921,LOC107651734,3456,4311,+,1,1
NDUFB3,HiC_scaffold_19261,NDUFB3,2136,3456,+,1,1
LOC103104879,HiC_scaffold_19273,LOC103104879,3216,3766,+,1,1
LOC100027066,HiC_scaffold_19299,LOC100027066,14,2699,+,1,1
LOC100016800,HiC_scaffold_19312,LOC100016800,1,4921,+,1,1
LOC103102148,HiC_scaffold_19316,LOC103102148,2,6683,+,4,1
LOC103094007,HiC_scaffold_1932,LOC103094007,4189,14059,-,2,1
LOC103104080,HiC_scaffold_19345,LOC103104080,865,4367,+,1,1
LOC107650550,HiC_scaffold_19375,LOC107650550,510,1698,+,2,2
CACNG8,HiC_scaffold_19452,CACNG8,1,7740,-,1,1
FANCE,HiC_scaffold_1949,FANCE,50,8855,-,4,2
LOC103098203,HiC_scaffold_195069,LOC103098203,54,313,+,1,1
TRNAD-GUC_6,HiC_scaffold_195146,TRNAD-GUC,241,312,+,1,1
MIS18A,HiC_scaffold_1952,MIS18A,5552,13604,-,1,1
LOC130453784,HiC_scaffold_19532,LOC130453784,2553,3564,-,1,1
LOC107651980,HiC_scaffold_19575,LOC107651980,4108,5850,+,2,1
LOC100020901,HiC_scaffold_19578,LOC100020901,1294,5121,-,3,1
LOC103103461,HiC_scaffold_1958,LOC103103461,92,13511,+,3,1
LOC103103229,HiC_scaffold_19589,LOC103103229,111,4596,+,1,1
LOC130455625,HiC_scaffold_19604,LOC130455625,7389,7691,+,1,1
LOC100023663,HiC_scaffold_19637,LOC100023663,704,7543,+,1,1
LOC107649126,HiC_scaffold_19675,LOC107649126,6873,7628,-,1,1
HMGA2,HiC_scaffold_19686,HMGA2,1488,4473,+,1,1
LOC130456243,HiC_scaffold_1969,LOC130456243,2483,2661,+,4,1
LOC130457671,HiC_scaffold_19719,LOC130457671,6386,6492,+,1,1
LOC103098397,HiC_scaffold_19720,LOC103098397,4210,4562,+,1,1
LOC103105652,HiC_scaffold_19760,LOC103105652,5862,6554,+,1,1
LOC100027216,HiC_scaffold_19768,LOC100027216,3795,4736,+,1,1
TRNAH-GUG_3,HiC_scaffold_19779,TRNAH-GUG,715,786,-,1,1
TRNAG-UCC_8,HiC_scaffold_19779,TRNAG-UCC,2192,2263,-,1,1
TRNAE-CUC_4,HiC_scaffold_19779,TRNAE-CUC,6432,6503,-,1,1
LOC103094266,HiC_scaffold_19788,LOC103094266,212,7561,-,1,1
RNF223,HiC_scaffold_1979,RNF223,540,2796,+,1,1
LOC100023824,HiC_scaffold_1979,LOC100023824,3529,12835,-,2,1
LOX,HiC_scaffold_19797,LOX,810,2501,-,1,2
LOC100014303,HiC_scaffold_19804,LOC100014303,1835,2773,-,1,1
DGCR6L,HiC_scaffold_19850,DGCR6L,504,4926,-,1,1
TMCO1,HiC_scaffold_19908,TMCO1,5322,7595,-,2,1
LCP1,HiC_scaffold_19970,LCP1,1123,4746,-,4,2
LOC100027516,HiC_scaffold_2,LOC100027516,254,22139,-,7,1
LOC103094333,HiC_scaffold_2,LOC103094333,51587,368503101,+,5,4
LOC100618161,HiC_scaffold_2,LOC100618161,52444,100301,-,3,1
LOC100619204,HiC_scaffold_2,LOC100619204,92447,101104,-,1,1
LOC100617201,HiC_scaffold_2,LOC100617201,132424,134065,+,1,1
LOC103103987,HiC_scaffold_2,LOC103103987,151047,153316,+,4,2
LOC100618066,HiC_scaffold_2,LOC100618066,160410,162220,+,2,1
LOC130458162,HiC_scaffold_2,LOC130458162,182718,185186,+,1,1
LOC103104114,HiC_scaffold_2,LOC103104114,189646,195217,-,1,1
LOC103096424,HiC_scaffold_2,LOC103096424,231475,233122,+,1,1
LOC100619433,HiC_scaffold_2,LOC100619433,252801,260609,-,1,1
LOC100619360,HiC_scaffold_2,LOC100619360,277889,289711,+,1,1
LOC100011319,HiC_scaffold_2,LOC100011319,323830,324789,-,1,1
LOC103095372,HiC_scaffold_2,LOC103095372,336337,336763,+,1,1
EVA1A,HiC_scaffold_2,EVA1A,356948,368994,-,5,1
MRPL19,HiC_scaffold_2,MRPL19,375900,377324,+,1,1
GCFC2,HiC_scaffold_2,GCFC2,377286,393262,-,3,1
ITSN2,HiC_scaffold_2,ITSN2,393264,450275,+,6,1
LOC103103637,HiC_scaffold_2,LOC103103637,451573,465168,-,2,1
LOC103101241,HiC_scaffold_2,LOC103101241,472912,479024,-,7,2
PFN4,HiC_scaffold_2,PFN4,490157,518774,+,4,1
FKBP1B,HiC_scaffold_2,FKBP1B,531634,532411,+,1,1
SF3B6,HiC_scaffold_2,SF3B6,539454,540605,-,2,1
TP53I3,HiC_scaffold_2,TP53I3,540763,543244,-,1,1
UBXN2A,HiC_scaffold_2,UBXN2A,590054,595328,-,3,1
ATAD2B,HiC_scaffold_2,ATAD2B,596702,661852,+,1,1
KLHL29,HiC_scaffold_2,KLHL29,666888,699876,-,3,1
LOC103097761,HiC_scaffold_2,LOC103097761,1318648,1331408,-,1,1
LOC103098055,HiC_scaffold_2,LOC103098055,1372863,1373517,-,1,1
CDKN3,HiC_scaffold_2,CDKN3,1535517,381990336,-,6,1
LOC100019673,HiC_scaffold_2,LOC100019673,1795713,1796725,-,1,1
TDRD15,HiC_scaffold_2,TDRD15,1852602,1858758,+,1,1
WDCP,HiC_scaffold_2,WDCP,1871279,1879235,-,2,1
LDAH,HiC_scaffold_2,LDAH,1948631,1982990,-,3,1
LOC130455929,HiC_scaffold_2,LOC130455929,1985178,1985901,+,1,1
LOC100014741,HiC_scaffold_2,LOC100014741,2207940,2220685,-,6,1
RHOB,HiC_scaffold_2,RHOB,2333209,2334996,-,1,1
LOC130457027,HiC_scaffold_2,LOC130457027,2335177,2335932,+,2,1
LOC100015002,HiC_scaffold_2,LOC100015002,2345217,2369044,-,1,1
PUM2,HiC_scaffold_2,PUM2,2382378,2455559,+,11,1
MATN3,HiC_scaffold_2,MATN3,2570259,2582028,-,1,1
WDR35,HiC_scaffold_2,WDR35,2591785,2639584,+,2,1
TTC32,HiC_scaffold_2,TTC32,2640550,2642212,+,1,1
LOC103105768,HiC_scaffold_2,LOC103105768,2825724,2826124,+,1,1
LOC103093085,HiC_scaffold_2,LOC103093085,3441748,3446323,+,1,1
LOC103093202,HiC_scaffold_2,LOC103093202,3489202,3489347,-,1,1
LOC103093329,HiC_scaffold_2,LOC103093329,3501111,3508686,+,1,1
KCNS3,HiC_scaffold_2,KCNS3,4067607,4102987,-,1,1
MSGN1,HiC_scaffold_2,MSGN1,4138483,4140620,-,1,1
GEN1,HiC_scaffold_2,GEN1,4147118,4171462,-,3,1
SMC6,HiC_scaffold_2,SMC6,4170622,4196628,+,3,1
VSNL1,HiC_scaffold_2,VSNL1,4208611,4244674,-,1,1
RAD51AP2,HiC_scaffold_2,RAD51AP2,4301965,4319584,+,1,1
LOC103097642,HiC_scaffold_2,LOC103097642,4636650,4651343,-,1,1
CYRIA,HiC_scaffold_2,CYRIA,4902748,4961275,+,3,1
MYCN,HiC_scaffold_2,MYCN,5348525,5354141,-,2,1
DDX1,HiC_scaffold_2,DDX1,5423890,5447949,-,3,1
LOC130456969,HiC_scaffold_2,LOC130456969,5437762,5439093,-,1,1
NBAS,HiC_scaffold_2,NBAS,5462397,5593831,+,2,1
LOC130456582,HiC_scaffold_2,LOC130456582,5799316,5799417,-,1,1
LRATD1,HiC_scaffold_2,LRATD1,6039037,6044342,-,2,1
LOC103106294,HiC_scaffold_2,LOC103106294,6158682,6174026,+,1,1
LOC103098842,HiC_scaffold_2,LOC103098842,7338989,7340595,-,1,1
LOC130458733,HiC_scaffold_2,LOC130458733,7339740,7340595,+,1,1
LOC130453757,HiC_scaffold_2,LOC130453757,7700352,7714009,+,1,1
TRIB2,HiC_scaffold_2,TRIB2,7923015,7955610,-,1,1
LPIN1,HiC_scaffold_2,LPIN1,8726098,8846513,-,12,1
LOC107650712,HiC_scaffold_2,LOC107650712,8767158,8776141,+,1,1
SLC4A5,HiC_scaffold_2,SLC4A5,8847539,8965972,+,2,1
MTHFD2,HiC_scaffold_2,MTHFD2,8973222,8986914,-,1,1
MOB1A,HiC_scaffold_2,MOB1A,9021070,9044283,+,1,1
BOLA3,HiC_scaffold_2,BOLA3,9047794,9051415,-,3,1
TET3,HiC_scaffold_2,TET3,9079205,9192872,-,7,1
DGUOK,HiC_scaffold_2,DGUOK,9212489,9251523,-,2,1
ACTG2,HiC_scaffold_2,ACTG2,9265750,9288337,-,2,1
STAMBP,HiC_scaffold_2,STAMBP,9303633,9316690,-,2,1
DUSP11,HiC_scaffold_2,DUSP11,9325517,9333541,-,1,1
C1H2orf78,HiC_scaffold_2,C1H2orf78,9339824,9345928,+,1,1
LOC130456904,HiC_scaffold_2,LOC130456904,9358774,9370973,+,1,1
LRRTM4,HiC_scaffold_2,LRRTM4,11765022,12580192,+,1,1
LOC130456900,HiC_scaffold_2,LOC130456900,13464422,13487445,-,1,1
LOC100032335,HiC_scaffold_2,LOC100032335,14161902,14163159,+,1,1
LOC130453756,HiC_scaffold_2,LOC130453756,14168215,14168471,+,1,1
ADRA1A,HiC_scaffold_2,ADRA1A,14389444,14521160,+,2,1
DPYSL2,HiC_scaffold_2,DPYSL2,14645958,14788457,-,2,1
LOC103102841,HiC_scaffold_2,LOC103102841,14820350,14820665,+,1,1
BNIP3L,HiC_scaffold_2,BNIP3L,14879593,14903391,+,2,1
TAAR5,HiC_scaffold_2,TAAR5,14920005,14921036,+,1,1
PPP2R2A,HiC_scaffold_2,PPP2R2A,14947905,15057944,-,2,1
LOC130456890,HiC_scaffold_2,LOC130456890,15157483,15159866,-,1,1
EBF2,HiC_scaffold_2,EBF2,15384304,15498894,+,1,1
CDCA2,HiC_scaffold_2,CDCA2,15820026,15873442,-,5,1
KCTD9,HiC_scaffold_2,KCTD9,15873877,15906840,+,8,1
GNRH1,HiC_scaffold_2,GNRH1,15921295,15925342,+,1,1
DOCK5,HiC_scaffold_2,DOCK5,15934207,16173760,-,2,1
NEFL,HiC_scaffold_2,NEFL,16419550,16428386,+,1,1
LOC130456868,HiC_scaffold_2,LOC130456868,16439256,16477689,+,1,1
LOC103105881,HiC_scaffold_2,LOC103105881,16652335,16709964,+,2,2
LOC107650703,HiC_scaffold_2,LOC107650703,16710094,16710708,-,1,1
LOC130456858,HiC_scaffold_2,LOC130456858,16883782,16893853,-,1,1
ADAM7,HiC_scaffold_2,ADAM7,16893988,16961530,-,1,1
ADAMDEC1,HiC_scaffold_2,ADAMDEC1,16993209,17014570,-,1,1
ADAM28,HiC_scaffold_2,ADAM28,17045929,17154983,-,1,1
LOC103106595,HiC_scaffold_2,LOC103106595,17222852,17254690,-,1,1
LOC103106354,HiC_scaffold_2,LOC103106354,17498513,17499141,+,2,1
LOC103092482,HiC_scaffold_2,LOC103092482,17612418,17617784,+,1,1
LOC100011299,HiC_scaffold_2,LOC100011299,17648147,17649181,+,1,1
LOC130456856,HiC_scaffold_2,LOC130456856,17676864,17690527,+,1,1
NKX2-6,HiC_scaffold_2,NKX2-6,17828144,17837602,+,1,1
NKX3-1,HiC_scaffold_2,NKX3-1,17873287,17877081,+,1,1
SLC25A37,HiC_scaffold_2,SLC25A37,17990557,18030571,-,6,1
LOC107650436,HiC_scaffold_2,LOC107650436,18030687,18055634,+,3,1
LOC130453532,HiC_scaffold_2,LOC130453532,18107513,18142796,+,2,1
LOC100021406,HiC_scaffold_2,LOC100021406,18159307,18292267,+,1,1
LOC130456847,HiC_scaffold_2,LOC130456847,18159462,18301385,+,1,1
R3HCC1,HiC_scaffold_2,R3HCC1,18315260,18336958,-,3,1
LOC103102618,HiC_scaffold_2,LOC103102618,18340767,18357829,-,2,1
LOC103094761,HiC_scaffold_2,LOC103094761,18383600,18393773,-,2,1
LOC103094222,HiC_scaffold_2,LOC103094222,18393986,18397285,+,4,1
LOC103095010,HiC_scaffold_2,LOC103095010,18414939,18422009,-,3,1
LOC100021822,HiC_scaffold_2,LOC100021822,18421980,18455805,+,3,1
CLEC4F,HiC_scaffold_2,CLEC4F,18459172,18467018,-,1,1
LOC100021992,HiC_scaffold_2,LOC100021992,18473101,18477261,+,1,1
LOC130453542,HiC_scaffold_2,LOC130453542,18494522,18499108,+,1,1
LOC100022169,HiC_scaffold_2,LOC100022169,18556869,18560485,+,1,1
TPRKB,HiC_scaffold_2,TPRKB,18606438,18612102,+,3,1
LOC100022265,HiC_scaffold_2,LOC100022265,18618075,18619466,-,1,1
LOC100022341,HiC_scaffold_2,LOC100022341,18634467,18638629,-,2,1
LOC130456834,HiC_scaffold_2,LOC130456834,18646798,18649584,+,1,1
LOC103099136,HiC_scaffold_2,LOC103099136,18707168,18717547,-,1,1
LOC103098331,HiC_scaffold_2,LOC103098331,18721643,18740330,+,2,1
LOC130456835,HiC_scaffold_2,LOC130456835,18740345,18742046,+,1,1
LOC103099638,HiC_scaffold_2,LOC103099638,18810677,18816821,+,1,1
ALMS1,HiC_scaffold_2,ALMS1,18826818,18931616,-,1,1
EGR4,HiC_scaffold_2,EGR4,19000530,19003713,+,1,1
FBXO41,HiC_scaffold_2,FBXO41,19020435,19060611,+,2,1
CCT7,HiC_scaffold_2,CCT7,19061139,19072887,-,1,1
PRADC1,HiC_scaffold_2,PRADC1,19077313,19081288,+,3,1
SMYD5,HiC_scaffold_2,SMYD5,19081550,19085135,-,1,1
RAB11FIP5,HiC_scaffold_2,RAB11FIP5,19202696,19209037,+,4,1
SFXN5,HiC_scaffold_2,SFXN5,19210682,19362316,+,5,1
EMX1,HiC_scaffold_2,EMX1,19365128,19406443,-,1,1
LOC103099263,HiC_scaffold_2,LOC103099263,19407115,19422468,+,1,1
LOC100010091,HiC_scaffold_2,LOC100010091,19477830,19485726,-,1,1
LOC100010137,HiC_scaffold_2,LOC100010137,19488275,19499264,-,1,1
EXOC6B,HiC_scaffold_2,EXOC6B,19530398,20028978,+,1,1
LOC130456824,HiC_scaffold_2,LOC130456824,20163368,20185112,+,1,1
LOC130458329,HiC_scaffold_2,LOC130458329,20525010,20525526,-,1,1
DYSF,HiC_scaffold_2,DYSF,20722229,20958398,-,16,1
ZNF638,HiC_scaffold_2,ZNF638,20981023,21125018,-,38,1
MIR7246,HiC_scaffold_2,MIR7246,21014050,21014110,-,1,1
NAGK,HiC_scaffold_2,NAGK,21229534,21245313,+,1,1
PAIP2B,HiC_scaffold_2,PAIP2B,21252013,21256990,-,2,1
LOC103105711,HiC_scaffold_2,LOC103105711,21272065,21286564,-,1,1
ATP6V1B1,HiC_scaffold_2,ATP6V1B1,21319346,21365040,-,1,1
VAX2,HiC_scaffold_2,VAX2,21367636,21404533,-,1,1
LOC103106169,HiC_scaffold_2,LOC103106169,21460392,21473942,+,1,1
LOC103097016,HiC_scaffold_2,LOC103097016,21493507,21498199,-,2,1
LOC103106351,HiC_scaffold_2,LOC103106351,21550059,21552667,-,1,1
LOC130453753,HiC_scaffold_2,LOC130453753,21558768,21561333,+,1,1
LOC103106648,HiC_scaffold_2,LOC103106648,21570011,21625540,-,2,1
LOC103092429,HiC_scaffold_2,LOC103092429,21595110,21599923,-,1,1
LOC130454584,HiC_scaffold_2,LOC130454584,21612156,21612390,+,1,1
LOC103093381,HiC_scaffold_2,LOC103093381,21642038,21658699,+,1,1
LOC103093918,HiC_scaffold_2,LOC103093918,21672547,21684533,+,2,1
LOC103094094,HiC_scaffold_2,LOC103094094,21698166,21703770,-,1,1
LOC103094634,HiC_scaffold_2,LOC103094634,21722265,21765447,-,8,1
LOC103095658,HiC_scaffold_2,LOC103095658,21800878,21810432,-,1,1
LOC130456555,HiC_scaffold_2,LOC130456555,21913239,21922826,+,1,1
LOC130453751,HiC_scaffold_2,LOC130453751,21926098,21931199,+,1,1
LOC103096009,HiC_scaffold_2,LOC103096009,21935044,21945410,+,1,1
HSPA12B,HiC_scaffold_2,HSPA12B,22010083,22053876,+,6,1
ADISSP,HiC_scaffold_2,ADISSP,22054703,22074418,-,4,1
SPEF1,HiC_scaffold_2,SPEF1,22078892,22089793,-,6,1
CENPB,HiC_scaffold_2,CENPB,22095459,22098776,-,1,1
CDC25B,HiC_scaffold_2,CDC25B,22156861,22162081,+,1,1
AP5S1,HiC_scaffold_2,AP5S1,22187013,22196305,+,4,1
MAVS,HiC_scaffold_2,MAVS,22200458,22202303,+,1,1
PANK2,HiC_scaffold_2,PANK2,22234155,22255721,+,4,1
MIR103-2,HiC_scaffold_2,MIR103-2,22251348,22251431,+,1,1
RNF24,HiC_scaffold_2,RNF24,22268159,22342515,-,1,1
LOC103094158,HiC_scaffold_2,LOC103094158,22352581,22383948,+,5,1
LOC103093980,HiC_scaffold_2,LOC103093980,22410211,22412811,-,1,1
LOC103093567,HiC_scaffold_2,LOC103093567,22412728,22437157,+,3,1
SMOX,HiC_scaffold_2,SMOX,22502357,22603048,+,5,1
ADRA1D,HiC_scaffold_2,ADRA1D,22614584,22666856,-,1,1
LOC130453750,HiC_scaffold_2,LOC130453750,23112574,23115586,+,1,1
LOC107650680,HiC_scaffold_2,LOC107650680,23399593,23416732,-,1,1
LOC103092851,HiC_scaffold_2,LOC103092851,23604245,23636331,-,4,1
CTNNA2,HiC_scaffold_2,CTNNA2,23620234,25142520,+,5,1
LOC130458522,HiC_scaffold_2,LOC130458522,24413521,24472056,+,1,1
LRRTM1,HiC_scaffold_2,LRRTM1,24650836,24653652,-,1,1
LOC103092064,HiC_scaffold_2,LOC103092064,25082950,25102301,-,3,1
LOC130456541,HiC_scaffold_2,LOC130456541,27457837,27458005,-,1,1
SUCLG1,HiC_scaffold_2,SUCLG1,29232944,29265860,-,2,1
DNAH6,HiC_scaffold_2,DNAH6,29285239,29499384,+,2,1
TRABD2A,HiC_scaffold_2,TRABD2A,29507400,29562436,-,3,1
TMSB10,HiC_scaffold_2,TMSB10,29588745,29589770,-,2,1
KCMF1,HiC_scaffold_2,KCMF1,29639363,29782251,+,1,1
LOC130456749,HiC_scaffold_2,LOC130456749,29687881,29688131,+,1,1
TCF7L1,HiC_scaffold_2,TCF7L1,29862586,30076848,+,2,1
TGOLN2,HiC_scaffold_2,TGOLN2,30081760,30091903,+,2,1
LOC100030337,HiC_scaffold_2,LOC100030337,30091994,30129708,-,2,1
LOC100030288,HiC_scaffold_2,LOC100030288,30150813,30163840,-,5,1
LOC107650667,HiC_scaffold_2,LOC107650667,30185606,30188911,+,1,1
LOC100030265,HiC_scaffold_2,LOC100030265,30196200,30197477,+,4,2
ELMOD3,HiC_scaffold_2,ELMOD3,30215504,30228959,+,4,1
CAPG,HiC_scaffold_2,CAPG,30231315,30253976,-,2,1
SH2D6,HiC_scaffold_2,SH2D6,30280622,30290522,+,1,1
MAT2A,HiC_scaffold_2,MAT2A,30360556,30366961,+,1,1
GGCX,HiC_scaffold_2,GGCX,30369662,30378325,-,1,1
VAMP8,HiC_scaffold_2,VAMP8,30401078,30405395,+,1,1
VAMP5,HiC_scaffold_2,VAMP5,30408414,30427348,+,1,1
LOC100030007,HiC_scaffold_2,LOC100030007,30452156,30456933,+,1,1
RNF181,HiC_scaffold_2,RNF181,30458966,30461721,+,2,1
TMEM150A,HiC_scaffold_2,TMEM150A,30461678,30466178,-,2,1
C1H2orf68,HiC_scaffold_2,C1H2orf68,30478026,30482405,-,1,1
USP39,HiC_scaffold_2,USP39,30485576,30525484,+,2,1
SFTPB,HiC_scaffold_2,SFTPB,30531543,30539783,-,1,1
ST3GAL5,HiC_scaffold_2,ST3GAL5,30660035,30716020,-,12,1
POLR1A,HiC_scaffold_2,POLR1A,30799644,30858923,-,1,1
PTCD3,HiC_scaffold_2,PTCD3,30858782,30886027,+,4,1
LOC130456767,HiC_scaffold_2,LOC130456767,30883984,30884120,+,1,1
IMMT,HiC_scaffold_2,IMMT,30894417,30930083,-,7,1
MRPL35,HiC_scaffold_2,MRPL35,30941990,30953877,+,1,1
REEP1,HiC_scaffold_2,REEP1,30957951,31092697,-,6,1
LOC130456500,HiC_scaffold_2,LOC130456500,31112443,31161572,-,1,1
LOC103096728,HiC_scaffold_2,LOC103096728,31154588,31158708,+,1,1
KDM3A,HiC_scaffold_2,KDM3A,31216019,31304642,+,3,1
CHMP3,HiC_scaffold_2,CHMP3,31306778,31323539,-,1,1
RNF103,HiC_scaffold_2,RNF103,31361949,31389297,-,1,1
RMND5A,HiC_scaffold_2,RMND5A,31453072,31514667,+,1,1
CD8A,HiC_scaffold_2,CD8A,31543967,31549828,-,1,1
CD8B,HiC_scaffold_2,CD8B,31592466,31607922,-,1,1
KRCC1,HiC_scaffold_2,KRCC1,31627411,31667178,-,5,1
LOC103095548,HiC_scaffold_2,LOC103095548,31667115,31676340,+,1,1
SMYD1,HiC_scaffold_2,SMYD1,31685824,31723377,+,2,1
FABP1,HiC_scaffold_2,FABP1,31728123,31732191,-,1,1
THNSL2,HiC_scaffold_2,THNSL2,31773223,31785944,+,3,1
LOC103093326,HiC_scaffold_2,LOC103093326,32010592,32012177,+,1,1
FOXI3,HiC_scaffold_2,FOXI3,32021739,32027185,-,1,1
LOC130456496,HiC_scaffold_2,LOC130456496,32108694,32109556,+,1,1
SPMIP9,HiC_scaffold_2,SPMIP9,32110010,32116147,+,4,1
EIF2AK3,HiC_scaffold_2,EIF2AK3,32124047,32186250,-,1,1
RPIA,HiC_scaffold_2,RPIA,32244418,32264291,+,1,1
LOC130457474,HiC_scaffold_2,LOC130457474,32373014,32373702,+,1,1
LOC130457451,HiC_scaffold_2,LOC130457451,32418450,32418766,+,1,1
LOC103102379,HiC_scaffold_2,LOC103102379,32429732,32430454,+,1,1
LOC100618192,HiC_scaffold_2,LOC100618192,32536544,32537594,+,1,1
LOC100029349,HiC_scaffold_2,LOC100029349,32544923,32545718,+,1,1
LOC107650657,HiC_scaffold_2,LOC107650657,32604606,32605174,+,1,1
LOC130456492,HiC_scaffold_2,LOC130456492,32629169,32630135,+,1,1
LOC130457455,HiC_scaffold_2,LOC130457455,32674514,32674897,-,1,1
LOC130456493,HiC_scaffold_2,LOC130456493,32681857,32682556,-,1,1
LOC130457468,HiC_scaffold_2,LOC130457468,32710650,32711234,+,1,1
LOC100618527,HiC_scaffold_2,LOC100618527,32734751,32735670,+,1,1
LOC107650656,HiC_scaffold_2,LOC107650656,32761040,32761779,+,1,1
LOC130457458,HiC_scaffold_2,LOC130457458,32774347,32774980,-,1,1
LOC107648922,HiC_scaffold_2,LOC107648922,32781343,32799664,+,3,1
LOC100028928,HiC_scaffold_2,LOC100028928,32841954,32848100,-,4,1
LOC100617293,HiC_scaffold_2,LOC100617293,32857109,32874739,+,2,1
LOC100028784,HiC_scaffold_2,LOC100028784,32903789,32988712,+,1,1
LOC130457449,HiC_scaffold_2,LOC130457449,32993908,32999782,-,1,1
LOC130457445,HiC_scaffold_2,LOC130457445,33002677,33003223,-,1,1
LOC100028658,HiC_scaffold_2,LOC100028658,33020994,33028767,-,1,1
LOC100616943,HiC_scaffold_2,LOC100616943,33049282,33062059,-,1,1
LOC100028524,HiC_scaffold_2,LOC100028524,33071329,33083372,-,3,1
LOC100616843,HiC_scaffold_2,LOC100616843,33109586,33128646,+,2,1
LOC100616797,HiC_scaffold_2,LOC100616797,33144076,33173593,-,5,1
LOC100028476,HiC_scaffold_2,LOC100028476,33175786,33193408,-,10,1
LOC103095781,HiC_scaffold_2,LOC103095781,33222999,33234549,+,2,1
LOC100617249,HiC_scaffold_2,LOC100617249,33260584,33262213,-,3,1
LOC107652148,HiC_scaffold_2,LOC107652148,33266939,33268323,-,7,3
LOC130456467,HiC_scaffold_2,LOC130456467,33290329,33292027,-,1,1
LOC103101841,HiC_scaffold_2,LOC103101841,33292856,33293970,-,2,2
LOC100617429,HiC_scaffold_2,LOC100617429,33338067,33341212,+,1,1
LOC100619200,HiC_scaffold_2,LOC100619200,33341415,33341735,+,2,3
